string,prefix,word,sep,pos,year,rel_freq
hyperorganiques,hyper,organiques,FUSION,Adj,1813,0.06029985671548047
superfin,super,fin,FUSION,Adj_Nom_Adv,1813,0.050249880596233726
superfines,super,fines,FUSION,Adj_Nom,1813,0.07034983283472722
superfins,super,fins,FUSION,Adj_Nom,1813,0.1105497373117142
superfluide,super,fluide,FUSION,Adj_Nom,1813,0.010049976119246743
supersaturation,super,saturation,FUSION,Nom,1813,0.1306496895502077
super fine,super,fine,ESPACE,Adj_Nom,1813,0.010049976119246743
hyperorganiques,hyper,organiques,FUSION,Adj,1814,0.010963614559000393
superacides,super,acides,FUSION,Adj_Nom,1814,0.021927229118000786
superfin,super,fin,FUSION,Adj_Nom_Adv,1814,0.07674530191300273
superfines,super,fines,FUSION,Adj_Nom,1814,0.20830867662100744
superfins,super,fins,FUSION,Adj_Nom,1814,0.05481807279500195
supernaturel,super,naturel,FUSION,Adj_Nom,1814,0.010963614559000393
supernaturelle,super,naturelle,FUSION,Adj_Nom,1814,0.010963614559000393
supersaturation,super,saturation,FUSION,Nom,1814,0.021927229118000786
ultra révolutionnaire,ultra,révolutionnaire,ESPACE,Adj_Nom,1814,0.032890843677001166
ultra révolutionnaires,ultra,révolutionnaires,ESPACE,Adj_Nom,1814,0.010963614559000393
hyper - organiques,hyper,organiques,TIRET,Adj,1814,0.032890843677001166
ultra - libéral,ultra,libéral,TIRET,Adj_Nom,1814,0.010963614559000393
archirévolutionnaire,archi,révolutionnaire,FUSION,Adj_Nom,1815,0.018414361773228645
superactif,super,actif,FUSION,Adj_Nom,1815,0.046035904433071616
superactifs,super,actifs,FUSION,Adj_Nom,1815,0.055243085319685935
superfin,super,fin,FUSION,Adj_Nom_Adv,1815,0.17493643684567212
superfines,super,fines,FUSION,Adj_Nom,1815,0.009207180886614322
superfins,super,fins,FUSION,Adj_Nom,1815,0.12890053241260052
supernaturel,super,naturel,FUSION,Adj_Nom,1815,0.009207180886614322
supersaturation,super,saturation,FUSION,Nom,1815,0.055243085319685935
ultrarévolutionnaires,ultra,révolutionnaires,FUSION,Adj_Nom,1815,0.027621542659842967
super très,super,très,ESPACE,Adv,1815,0.018414361773228645
ultra pour,ultra,pour,ESPACE,Adv_Nom,1815,0.009207180886614322
ultra - révolutionnaire,ultra,révolutionnaire,TIRET,Adj_Nom,1815,0.11048617063937187
hyperphysique,hyper,physique,FUSION,Adj_Nom,1816,0.1834498897495348
superfin,super,fin,FUSION,Adj_Nom_Adv,1816,0.033354525409006325
superfines,super,fines,FUSION,Adj_Nom,1816,0.033354525409006325
superfins,super,fins,FUSION,Adj_Nom,1816,0.025015894056754744
supersaturation,super,saturation,FUSION,Nom,1816,0.033354525409006325
ultrarévolutionnaires,ultra,révolutionnaires,FUSION,Adj_Nom,1816,0.033354525409006325
ultra révolutionnaire,ultra,révolutionnaire,ESPACE,Adj_Nom,1816,0.016677262704503162
hyper - physique,hyper,physique,TIRET,Adj_Nom,1816,0.016677262704503162
archigrand,archi,grand,FUSION,Adj_Nom_Adv,1817,0.03064703303314973
hypercritiques,hyper,critiques,FUSION,Vrb_Nom_Adj,1817,0.012258813213259893
superfin,super,fin,FUSION,Adj_Nom_Adv,1817,0.06742347267292942
superfines,super,fines,FUSION,Adj_Nom,1817,0.012258813213259893
superfins,super,fins,FUSION,Adj_Nom,1817,0.01838821981988984
